id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
607,Graduate,Background in Networking,BSc Information Technology / Diploma in Networking,IT Infrastructure,Network Support Engineer,Systems Administrator,Senior Cloud Architect,Linux/Windows Server|Cloud Computing (AWS/Azure)|Routing & Switching,Communication|Customer Service|Reliability,System Administration|Computer Networks|Operating Systems,CompTIA Network+|AWS SysOps,High,High,80000,110000-500000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
608,A/L Pending,Technology Stream - SFT focus,BSc Cyber Security,Information Security,Junior Penetration Tester,Cyber Security Specialist,Security Architect,Ethical Hacking|Network Security|Linux,Perseverance|Ethics|Calm Under Pressure,Malware Analysis|Cryptography|Network Protocols,CEH|CISSP,Very High,Very High,175000,205000-420000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
609,Graduate,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Structural Trainee,Structural Engineer,Engineering Director,Surveying|AutoCAD|Structural Analysis,Leadership|Teamwork|Risk Management,Structural Design|Geotechnical Engineering|Materials Science,AutoCAD Certification|PMP,Medium,Medium,85000,115000-470000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
610,Diploma Holder,Background in Data Analysis & AI,BSc Data Science,Data Science,BI Analyst,Data Scientist,Senior Data Scientist,SQL|Statistics|Machine Learning,Analytical Thinking|Curiosity|Business Acumen,Big Data|Probability|Deep Learning,IBM Data Science|AWS Machine Learning,High,Very High,150000,180000-810000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
611,Diploma Holder,Background in Data Analysis & AI,BSc Data Science,Data Science,Data Analyst,Data Engineer,Senior Data Scientist,SQL|Machine Learning|Python,Presentation|Business Acumen|Analytical Thinking,Deep Learning|Big Data|Linear Algebra,AWS Machine Learning|Google Data Analytics,High,Very High,185000,215000-970000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
612,O/L Completed,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Student Nurse,Staff Nurse,Matron,First Aid|Infection Control|Patient Care,Patience|Communication|Resilience,Pharmacology|Medical-Surgical Nursing|Nursing Foundations,Specialized Nursing Certifications|BLS,High,Very High,95000,125000-590000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
613,Career Switcher,Business Management Interest,BBA Business Management,Business Operations,Operations Assistant,Operations Manager,Operations Director,Data Analysis|Budgeting|Project Management,Problem Solving|Leadership|Negotiation,Marketing|Organizational Behavior|Strategic Management,PMP|Agile PM,Medium,High,115000,145000-590000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
614,Diploma Holder,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,Marketing Assistant,SEO Specialist,Head of Digital,Google Analytics|Social Media Ads|SEO/SEM,Empathy|Adaptability|Creativity,Market Research|Brand Management|Digital Strategy,HubSpot Inbound Marketing|Google Digital Garage,High,High,95000,125000-450000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
615,O/L Completed,Mechanical Systems Interest,BSc Mechanical Engineering,Mechanical Engineering,Design Engineer Intern,Mechanical Engineer,Senior Mechanical Engineer,Robotics|Quality Control|CAD/CAM,Innovation|Attention to Detail|Analytical Thinking,Thermodynamics|Fluid Mechanics|Machine Design,SolidWorks Certification|Six Sigma,Medium,High,105000,135000-380000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
616,Undergraduate,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,Counseling Trainee,Clinical Psychologist,Director of Mental Health Services,Psychological Assessment|Research Methodology|Therapy Techniques (CBT),Patience|Active Listening|Empathy,Counseling|Developmental Psychology|Cognitive Psychology,Counseling Diploma|Clinical Psychology Masters,Medium,High,95000,125000-290000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
617,Undergraduate,Background in IT / Programming,BSc Computer Science,Software Engineering,Junior Software Developer,Backend Engineer,Software Architect,Problem Solving|Git|Algorithms,Teamwork|Time Management|Communication,Software Patterns|Databases|Math for CS,Scrum Master|Azure Fundamentals,Very High,Very High,160000,190000-440000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
618,A/L Pending,Technology Stream - ET/BST focus,BSc Hospitality Management,Tourism,Management Trainee,Event Manager,Resort Manager,Event Planning|Property Management Systems|Languages,Customer Service|Cultural Awareness|Interpersonal Skills,HR in Hospitality|Hospitality Operations|Tourism Marketing,Food Safety Certification|IATA Certification,High,Medium,65000,95000-450000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
619,Career Switcher,Construction & Structures Interest,BSc Civil Engineering,Civil Engineering,Site Engineer,Structural Engineer,Construction Manager,Structural Analysis|AutoCAD|Surveying,Leadership|Teamwork|Risk Management,Geotechnical Engineering|Materials Science|Structural Design,Chartered Engineer (CEng)|PMP,Medium,Medium,100000,130000-630000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
620,A/L Pending,Commerce Stream - Accounting focus,BSc Hospitality Management,Tourism,Tour Guide,Tour Operations Manager,Director of Tourism,Event Planning|Property Management Systems|Inventory Management,Problem Solving|Interpersonal Skills|Customer Service,Hospitality Operations|HR in Hospitality|Tourism Marketing,IATA Certification|Language Diplomas,High,Medium,80000,110000-400000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
621,Career Switcher,Law & Justice Interest,LLB Law,Legal Services,Junior Lawyer,Attorney-at-Law,Chief Legal Officer,Litigation|Legal Research|Compliance,Negotiation|Argumentation|Analytical Thinking,Corporate Law|Criminal Law|Contract Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,55000,85000-730000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
622,O/L Completed,Agriculture Interest,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Agronomist,Estate Superintendent,Soil Science|Pest Control|Crop Management,Adaptability|Physical Endurance|Team Management,Soil Science|Crop Science|Agricultural Economics,GAP Certification|Pesticide Application License,Medium,Low,55000,85000-180000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
623,O/L Completed,Marketing & Digital Media Interest,BSc Digital Marketing,Marketing,Social Media Coordinator,SEO Specialist,Head of Digital,SEO/SEM|Content Creation|Google Analytics,Communication|Adaptability|Empathy,Consumer Behavior|Digital Strategy|Brand Management,HubSpot Inbound Marketing|Meta Blueprint,High,High,105000,135000-460000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
624,O/L Completed,Medicine Interest,MBBS Medicine,Healthcare - Medical,Medical Intern,General Practitioner,Hospital Director,Patient Care|Diagnosis|Pharmacology,Ethics|Decision Making Under Pressure|Communication,Physiology|Pediatrics|Pathology,MD/MS (Sri Lanka)|USMLE,Very High,Very High,235000,265000-1290000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
625,A/L Pending,Arts Stream - Languages focus,BSc Accounting and Finance,Finance,Junior Accountant,Accountant,Finance Manager,Taxation|Excel|ERP Systems,Integrity|Attention to Detail|Ethics,Corporate Finance|Auditing|Economics,CA Sri Lanka|ACCA,High,High,110000,140000-530000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
626,O/L Completed,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Student Nurse,ICU Nurse,Chief Nursing Officer,Infection Control|First Aid|Patient Care,Communication|Patience|Empathy,Nursing Foundations|Psychology|Pharmacology,ACLS|Specialized Nursing Certifications,High,Very High,60000,90000-270000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
627,Diploma Holder,Background in Mechanical Systems,BSc Mechanical Engineering,Mechanical Engineering,Maintenance Engineer Trainee,Production Engineer,Engineering Director,Robotics|Thermodynamics|CAD/CAM,Analytical Thinking|Troubleshooting|Attention to Detail,Fluid Mechanics|Control Systems|Thermodynamics,Chartered Engineer (CEng)|Six Sigma,Medium,High,85000,115000-400000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
628,O/L Completed,Education & Teaching Interest,BA/BSc / BEd Education,Education,Trainee Teacher,Teacher,Principal,Student Assessment|Educational Technology|Lesson Planning,Public Speaking|Empathy|Patience,Teaching Methodology|Subject-Specific Focus|Curriculum Design,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,60000,90000-310000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
629,A/L Pending,Physical Science Stream - Physics focus,BSc Data Science,Data Science,Data Analyst,Data Engineer,Chief Data Officer,Statistics|Machine Learning|Python,Business Acumen|Presentation|Curiosity,Linear Algebra|Deep Learning|Probability,Google Data Analytics|AWS Machine Learning,High,Very High,145000,175000-390000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
630,A/L Pending,Technology Stream - ET/BST focus,BA/BSc / BEd Education,Education,Trainee Teacher,Instructor,Dean,Educational Technology|Student Assessment|Curriculum Development,Public Speaking|Mentorship|Empathy,Curriculum Design|Teaching Methodology|Educational Psychology,Postgraduate Diploma in Education (PGDE)|TEFL/TESOL,Medium,High,60000,90000-120000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
631,Undergraduate,Background in Tourism & Hospitality,BSc Hospitality Management,Tourism,Front Office Assistant,Hotel Manager,General Manager (Hotel),Inventory Management|Languages|Property Management Systems,Cultural Awareness|Problem Solving|Interpersonal Skills,HR in Hospitality|Tourism Marketing|Hospitality Operations,Language Diplomas|IATA Certification,High,Medium,70000,100000-580000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
632,O/L Completed,Education & Teaching Interest,BA/BSc / BEd Education,Education,Teaching Assistant,Lecturer,Professor,Student Assessment|Lesson Planning|Curriculum Development,Public Speaking|Patience|Empathy,Curriculum Design|Subject-Specific Focus|Teaching Methodology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,50000,80000-180000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
633,Diploma Holder,Background in Human Resource Management,BSc Human Resource Management,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,VP of People,Labor Law Knowledge|Recruitment|Payroll Management,Negotiation|Communication|Empathy,Labor Law|Organizational Behavior|Performance Management,PHR|CIPM,Medium,Medium,75000,105000-340000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
634,Career Switcher,Mechanical Systems Interest,BSc Mechanical Engineering,Mechanical Engineering,Maintenance Engineer Trainee,Production Engineer,Plant Manager,Thermodynamics|CAD/CAM|Quality Control,Analytical Thinking|Attention to Detail|Innovation,Machine Design|Control Systems|Thermodynamics,Six Sigma|SolidWorks Certification,Medium,High,75000,105000-570000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
635,Undergraduate,Background in Business Management,BBA Business Management,Business Operations,Operations Assistant,Business Analyst,Operations Director,Project Management|Data Analysis|Budgeting,Problem Solving|Leadership|Negotiation,HR|Strategic Management|Organizational Behavior,Agile PM|Certified Business Analysis Professional (CBAP),Medium,High,145000,175000-420000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
636,Diploma Holder,Background in Networking,BSc Information Technology / Diploma in Networking,IT Infrastructure,Junior Systems Administrator,Cloud Engineer,IT Infrastructure Manager,Routing & Switching|Linux/Windows Server|Cloud Computing (AWS/Azure),Communication|Customer Service|Reliability,Computer Networks|Operating Systems|System Administration,CCNP|CCNA,High,High,85000,115000-430000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
